month,sales
2013-10-13,77
2013-10-20,74
2013-10-27,68
2013-11-03,70
2013-11-10,77
2013-11-17,69
2013-11-24,71
2013-12-01,67
2013-12-08,64
2013-12-15,64
2013-12-22,70
2013-12-29,79
2014-01-05,81
2014-01-12,86
2014-01-19,85
2014-01-26,84
2014-02-02,86
2014-02-09,92
2014-02-16,96
2014-02-23,100
2014-03-02,98
2014-03-09,89
2014-03-16,84
2014-03-23,89
2014-03-30,84
2014-04-06,81
2014-04-13,82
2014-04-20,85
2014-04-27,83
2014-05-04,76
2014-05-11,87
2014-05-18,80
2014-05-25,85
2014-06-01,84
2014-06-08,76
2014-06-15,77
2014-06-22,87
2014-06-29,85
2014-07-06,85
2014-07-13,82
2014-07-20,92
2014-07-27,91
2014-08-03,84
2014-08-10,80
2014-08-17,80
2014-08-24,98
2014-08-31,89
2014-09-07,68
2014-09-14,66
2014-09-21,66
2014-09-28,81
2014-10-05,65
2014-10-12,71
2014-10-19,71
2014-10-26,66
2014-11-02,72
2014-11-09,82
2014-11-16,77
2014-11-23,78
2014-11-30,69
2014-12-07,70
2014-12-14,61
2014-12-21,74
2014-12-28,73
2015-01-04,78
2015-01-11,72
2015-01-18,85
2015-01-25,88
2015-02-01,85
2015-02-08,82
2015-02-15,90
2015-02-22,85
2015-03-01,94
2015-03-08,90
2015-03-15,88
2015-03-22,80
2015-03-29,91
2015-04-05,86
2015-04-12,77
2015-04-19,79
2015-04-26,76
2015-05-03,74
2015-05-10,84
2015-05-17,92
2015-05-24,85
2015-05-31,88
2015-06-07,76
2015-06-14,87
2015-06-21,92
2015-06-28,87
2015-07-05,87
2015-07-12,94
2015-07-19,96
2015-07-26,95
2015-08-02,92
2015-08-09,96
2015-08-16,90
2015-08-23,93
2015-08-30,97
2015-09-06,82
2015-09-13,76
2015-09-20,71
2015-09-27,64
2015-10-04,70
2015-10-11,70
2015-10-18,65
2015-10-25,68
2015-11-01,78
2015-11-08,67
2015-11-15,68
2015-11-22,72
2015-11-29,72
2015-12-06,74
2015-12-13,70
2015-12-20,71
2015-12-27,79
2016-01-03,82
2016-01-10,67
2016-01-17,70
2016-01-24,78
2016-01-31,81
2016-02-07,82
2016-02-14,87
2016-02-21,87
2016-02-28,81
2016-03-06,77
2016-03-13,76
2016-03-20,84
2016-03-27,75
2016-04-03,75
2016-04-10,72
2016-04-17,65
2016-04-24,74
2016-05-01,69
2016-05-08,74
2016-05-15,77
2016-05-22,72
2016-05-29,83
2016-06-05,69
2016-06-12,70
2016-06-19,74
2016-06-26,82
2016-07-03,84
2016-07-10,73
2016-07-17,79
2016-07-24,82
2016-07-31,77
2016-08-07,70
2016-08-14,74
2016-08-21,77
2016-08-28,75
2016-09-04,67
2016-09-11,66
2016-09-18,61
2016-09-25,63
2016-10-02,67
2016-10-09,66
2016-10-16,69
2016-10-23,62
2016-10-30,66
2016-11-06,56
2016-11-13,64
2016-11-20,71
2016-11-27,56
2016-12-04,60
2016-12-11,57
2016-12-18,57
2016-12-25,65
2017-01-01,77
2017-01-08,75
2017-01-15,75
2017-01-22,71
2017-01-29,72
2017-02-05,81
2017-02-12,72
2017-02-19,84
2017-02-26,69
2017-03-05,69
2017-03-12,70
2017-03-19,72
2017-03-26,70
2017-04-02,71
2017-04-09,68
2017-04-16,67
2017-04-23,73
2017-04-30,73
2017-05-07,70
2017-05-14,70
2017-05-21,81
2017-05-28,71
2017-06-04,67
2017-06-11,71
2017-06-18,72
2017-06-25,78
2017-07-02,87
2017-07-09,78
2017-07-16,74
2017-07-23,79
2017-07-30,76
2017-08-06,75
2017-08-13,75
2017-08-20,77
2017-08-27,73
2017-09-03,62
2017-09-10,68
2017-09-17,68
2017-09-24,69
2017-10-01,68
2017-10-08,73
2017-10-15,64
2017-10-22,61
2017-10-29,64
2017-11-05,66
2017-11-12,63
2017-11-19,72
2017-11-26,67
2017-12-03,59
2017-12-10,63
2017-12-17,65
2017-12-24,72
2017-12-31,75
2018-01-07,69
2018-01-14,68
2018-01-21,70
2018-01-28,76
2018-02-04,70
2018-02-11,72
2018-02-18,82
2018-02-25,71
2018-03-04,76
2018-03-11,68
2018-03-18,67
2018-03-25,73
2018-04-01,67
2018-04-08,61
2018-04-15,67
2018-04-22,86
2018-04-29,69
2018-05-06,69
2018-05-13,68
2018-05-20,70
2018-05-27,73
2018-06-03,66
2018-06-10,67
2018-06-17,71
2018-06-24,70
2018-07-01,74
2018-07-08,72
2018-07-15,76
2018-07-22,80
2018-07-29,67
2018-08-05,66
2018-08-12,71
2018-08-19,70
2018-08-26,76
2018-09-02,69
2018-09-09,60
2018-09-16,68
2018-09-23,67
2018-09-30,64
