date,trends
2013-10-13,34
2013-10-20,27
2013-10-27,41
2013-11-03,14
2013-11-10,34
2013-11-17,13
2013-11-24,28
2013-12-01,25
2013-12-08,13
2013-12-15,21
2013-12-22,16
2013-12-29,28
2014-01-05,66
2014-01-12,33
2014-01-19,39
2014-01-26,13
2014-02-02,0
2014-02-09,25
2014-02-16,39
2014-02-23,19
2014-03-02,44
2014-03-09,13
2014-03-16,19
2014-03-23,26
2014-03-30,13
2014-04-06,26
2014-04-13,53
2014-04-20,13
2014-04-27,26
2014-05-04,39
2014-05-11,41
2014-05-18,15
2014-05-25,16
2014-06-01,31
2014-06-08,15
2014-06-15,23
2014-06-22,15
2014-06-29,16
2014-07-06,23
2014-07-13,15
2014-07-20,23
2014-07-27,23
2014-08-03,24
2014-08-10,23
2014-08-17,15
2014-08-24,0
2014-08-31,22
2014-09-07,42
2014-09-14,14
2014-09-21,43
2014-09-28,22
2014-10-05,29
2014-10-12,36
2014-10-19,29
2014-10-26,43
2014-11-02,14
2014-11-09,21
2014-11-16,29
2014-11-23,0
2014-11-30,14
2014-12-07,28
2014-12-14,22
2014-12-21,17
2014-12-28,16
2015-01-04,28
2015-01-11,21
2015-01-18,35
2015-01-25,34
2015-02-01,13
2015-02-08,13
2015-02-15,28
2015-02-22,20
2015-03-01,14
2015-03-08,21
2015-03-15,0
2015-03-22,39
2015-03-29,0
2015-04-05,14
2015-04-12,28
2015-04-19,56
2015-04-26,14
2015-05-03,29
2015-05-10,44
2015-05-17,30
2015-05-24,31
2015-05-31,0
2015-06-07,39
2015-06-14,31
2015-06-21,16
2015-06-28,24
2015-07-05,31
2015-07-12,15
2015-07-19,15
2015-07-26,15
2015-08-02,31
2015-08-09,15
2015-08-16,30
2015-08-23,29
2015-08-30,14
2015-09-06,15
2015-09-13,35
2015-09-20,28
2015-09-27,42
2015-10-04,14
2015-10-11,21
2015-10-18,20
2015-10-25,14
2015-11-01,27
2015-11-08,27
2015-11-15,14
2015-11-22,22
2015-11-29,33
2015-12-06,33
2015-12-13,27
2015-12-20,16
2015-12-27,15
2016-01-03,23
2016-01-10,33
2016-01-17,0
2016-01-24,28
2016-01-31,33
2016-02-07,17
2016-02-14,22
2016-02-21,16
2016-02-28,27
2016-03-06,33
2016-03-13,17
2016-03-20,40
2016-03-27,40
2016-04-03,50
2016-04-10,34
2016-04-17,51
2016-04-24,17
2016-05-01,22
2016-05-08,28
2016-05-15,11
2016-05-22,17
2016-05-29,36
2016-06-05,12
2016-06-12,35
2016-06-19,30
2016-06-26,30
2016-07-03,31
2016-07-10,24
2016-07-17,30
2016-07-24,30
2016-07-31,18
2016-08-07,12
2016-08-14,19
2016-08-21,43
2016-08-28,17
2016-09-04,17
2016-09-11,23
2016-09-18,28
2016-09-25,17
2016-10-02,39
2016-10-09,11
2016-10-16,34
2016-10-23,22
2016-10-30,100
2016-11-06,58
2016-11-13,33
2016-11-20,34
2016-11-27,10
2016-12-04,25
2016-12-11,26
2016-12-18,28
2016-12-25,23
2017-01-01,11
2017-01-08,31
2017-01-15,41
2017-01-22,20
2017-01-29,20
2017-02-05,30
2017-02-12,45
2017-02-19,25
2017-02-26,14
2017-03-05,39
2017-03-12,10
2017-03-19,41
2017-03-26,20
2017-04-02,25
2017-04-09,21
2017-04-16,26
2017-04-23,20
2017-04-30,41
2017-05-07,16
2017-05-14,55
2017-05-21,17
2017-05-28,34
2017-06-04,38
2017-06-11,28
2017-06-18,32
2017-06-25,17
2017-07-02,18
2017-07-09,45
2017-07-16,23
2017-07-23,34
2017-07-30,11
2017-08-06,32
2017-08-13,32
2017-08-20,21
2017-08-27,37
2017-09-03,41
2017-09-10,20
2017-09-17,41
2017-09-24,41
2017-10-01,20
2017-10-08,20
2017-10-15,20
2017-10-22,20
2017-10-29,10
2017-11-05,40
2017-11-12,40
2017-11-19,16
2017-11-26,34
2017-12-03,40
2017-12-10,40
2017-12-17,27
2017-12-24,29
2017-12-31,21
2018-01-07,35
2018-01-14,25
2018-01-21,44
2018-01-28,20
2018-02-04,29
2018-02-11,59
2018-02-18,29
2018-02-25,10
2018-03-04,24
2018-03-11,25
2018-03-18,35
2018-03-25,36
2018-04-01,35
2018-04-08,15
2018-04-15,35
2018-04-22,20
2018-04-29,25
2018-05-06,40
2018-05-13,15
2018-05-20,36
2018-05-27,10
2018-06-03,36
2018-06-10,20
2018-06-17,10
2018-06-24,32
2018-07-01,22
2018-07-08,36
2018-07-15,21
2018-07-22,26
2018-07-29,37
2018-08-05,41
2018-08-12,26
2018-08-19,26
2018-08-26,26
2018-09-02,25
2018-09-09,30
2018-09-16,10
2018-09-23,25
2018-09-30,23
